idArea,area,vicepresidencia
706e2bb1480949,REVERDEC (CLS53000603),GENERACION (CLS80000006)
858a9daf4a2847,OPERACIONES Y MANTENIMIENTO ACTIVOS FOTOVOLTAICOS CA (CLS53000429),CELSIA CENTROAMERICA (CLS80000009)
5de4236294c74d,AUDITORIA CA (CLS53000412),AUDITORIA CORPORATIVA (CLS80000020)
bdc9c3956cfd4f,MANTENIMIENTO ELECTRICO DMA (CLS53000073),CELSIA CENTROAMERICA (CLS80000009)
b77e72dd0e6546,INTERVENTORIA ZONA VALLE (CLS53000614),TRANSMISION Y DISTRIBUCION (CLS80000008)
57eb5a1dda9b46,SALUD DE EQUIPOS (CLS53000249),TRANSMISION Y DISTRIBUCION (CLS80000008)
014f67d938834b,OPERACION TYD (CLS51000660),TRANSMISION Y DISTRIBUCION (CLS80000008)
41af40e107e44b,FINANZAS CORPORATIVAS (CLS50000061),FINANCIERA (CLS80000005)
4016afeae0914a,SERVICIO PRESENCIAL (CLS53000541),COMERCIAL (CLS80000004)
089e6454fbfd4c,ADMINISTRACION VENTAS (CLS51000671),COMERCIAL (CLS80000004)
f22b18fe4be947,OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE NORTE (CLS53000398),TRANSMISION Y DISTRIBUCION (CLS80000008)
ab8e5cb16adc42,MANTENIMIENTO MECANICO PRADO Y CUCUANA (CLS53000600),GENERACION (CLS80000006)
60fb8f80edbc47,GESTION DEL CAMBIO (CLS53000467),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
179aa07088254a,AUDITORIA CORPORATIVA (CLS50000058),PRESIDENCIA (CLS80000001)
edc3ed617ba247,Direccion de Operaciones y Proyectos (CA12000),CELSIA CENTROAMERICA (51000551)
699e305c683642,OPERACIONES COMPLEJO HIDRICO CHIRIQUI (CLS53000064),CELSIA CENTROAMERICA (CLS80000009)
987da6b4505649,GESTION CENTRO DE OPERACIONES TECNOLOGIA (CLS53000535),TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007)
cca6165b26b047,OPERACIONES COMPLEJO TERMICO COLON (CLS53000502),CELSIA CENTROAMERICA (CLS80000009)
f0eb5b7af0cf4c,FINANCIERA (CLS50000053),FINANCIERA (CLS80000005)
c2a359afc9214d,GESTION DE RECURSOS COMPLEJO TERMICO COLON (CLS53000503),CELSIA CENTROAMERICA (CLS80000009)
5467a3b0517a4d,NEGOCIO DISTRITO TERMICO Y EFICIENCIA ENERGETICA (CLS53000623),COMERCIAL (CLS80000004)
b15a3e2a35f944,ENERBIT (CLS53000523),ENERBIT (CLS80000022)
188a2791a8aa46,PLANEACION DEL MEM (CLS51000847),GENERACION (CLS80000006)
bb68794e162342,INNOVACION (CLS51000578),PRESIDENCIA (CLS80000001)
140a1ccfa56540,MANTENIMIENTO TYD ZONA VALLE SUR (CLS51000871),TRANSMISION Y DISTRIBUCION (CLS80000008)
6ccaed4565a240,GESTION TECNICA HIDRAULICAS (CLS51000838),GENERACION (CLS80000006)
8248200ebfc143,SUPERVISION TURNO V CTC (CLS53000082),CELSIA CENTROAMERICA (CLS80000009)
