idCompania,nombre,ubicacionC
df8c494bd1cf47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),750b688061f449
84494f5374e34c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c7d0c38c9fb942
d4efe253ee8146,CELSIA CENTROAMERICA S.A. (CLS-PA02),ac50921246ca48
f26d5f67819d49,CELSIA CENTROAMERICA S.A. (CLS-PA02),463acd97876c49
6816b961d5cf44,CELSIA CENTROAMERICA S.A. (CLS-PA02),b105ccde074f4c
5b9d509f153748,CELSIA CENTROAMERICA S.A. (CLS-PA02),0977914d4b8241
2826b8dbf19c40,ENERBIT S.A.S. E.S.P. (CLS-CO11),69ff8d05dc0f4c
936074be1de14e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),bdf8cbfdfc2f4b
01843931eece46,CELSIA CENTROAMERICA S.A. (CLS-PA02),62617836901345
e8efe876eaf346,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),1aed7b83bd7343
d5ac042671a442,"BLM, CORP (CLS-PA01)",463acd97876c49
8bd50479bcfb4f,EPSA E.S.P. (CLS-CO07),72eeadeaadce47
af1a0646bed549,CELSIA S.A (CLS-CO01),b61657a0a9564e
44c167863d5148,CELSIA S.A (CLS-CO01),7ea60e5e87f341
5b590f27dfa440,CELSIA S.A E.S.P. (CLS-CO01),1d5e0d3db9be4b
198d3028cc484d,EPSA E.S.P. (CLS-CO07),85194438433345
85379ac902cf4a,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),b4767c13e7dc4b
73aa724c78924c,EPSA E.S.P. (CLS-CO07),d9c08522d5b148
e3bf862fea714f,EPSA E.S.P. (CLS-CO07),7f877b06639240
55c3641331f04c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),dc54cba7db5749
3e89e2d4bbec41,CELSIA S.A (CLS-CO01),04efe1f6ec0546
d18f8548bccb47,EPSA E.S.P. (CLS-CO07),dc54cba7db5749
cba0ee36d76c44,CELSIA S.A (CLS-CO01),69ff8d05dc0f4c
12d690c4d8c045,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7343c676946148
0fdbd18237fc4a,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),ea876f995c6146
f5a76bb4320d4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),e51bdd137fcd47
886fb1330cbb4d,FUNDACION CELSIA COLOMBIA (CLS-CO09),8ed21a0a6fdb42
b7ae16fcf59542,PORVENIR II S.A.S. E.S.P. (CLS-CO04),1049067df26942
d9285f33f25b46,CELSIA S.A E.S.P. (CLS-CO01),1049067df26942
3558cdce7f8c4c,EPSA E.S.P. (CLS-CO07),98ee754473ee40
5bc3c0c30a344e,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),bec538ebdfbf4a
40c02e1bace348,CELSIA S.A E.S.P. (CLS-CO01),6e405d90857744
05eaba33d35848,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),bc2269185a3444
8e7346f9427c4f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),85194438433345
f26a7bea76c641,ZFC S.A. E.S.P. (CLS-CO02),a02503a341734b
82d6c31944ba4f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c3182a03d9e243
3998ef3514804a,CELSIA CENTROAMERICA S.A. (CLS-PA02),d4babb1f67d74a
670ec04ce3564c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),613bc882037b49
627719cd2ff747,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),48aa25a5465c44
c90e0bd5929449,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),20359ab053974c
f7c1ced6800e46,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f49bb458d6394e
9338dc8729a04b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),fefb41b186c84a
000688e15f8041,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),8dddcf31970c46
db65a0abcb8444,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c85f79e79d9c4c
b7f5122a48ae47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),94821c8a1ba048
e02c4f97b32f4a,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),613bc882037b49
e1d24cd685534e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),de3259d6803340
57ab73a2df294d,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),9f75e3d79d4f43
017cadd4e5d243,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7f877b06639240
3555747a036d4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),92f491b2dd2b41
66b70fc385d943,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),3378ad5733264b
3cac43e689534e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),049347c73cfc48
567e4d7f70c149,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),58168887354e4a
